Time,SpO2(%),Pulse Rate(bpm),Motion,Vibration
09:34:57 Jul 01 2020,98,63,0,0
09:35:01 Jul 01 2020,98,63,13,0
09:35:05 Jul 01 2020,98,66,2,0
09:35:09 Jul 01 2020,98,66,4,0
09:35:13 Jul 01 2020,98,66,0,0
09:35:17 Jul 01 2020,98,73,2,0
09:35:21 Jul 01 2020,98,74,1,0
09:35:25 Jul 01 2020,98,82,5,0
09:35:29 Jul 01 2020,98,82,3,0
09:35:33 Jul 01 2020,99,89,0,0
09:35:37 Jul 01 2020,99,89,16,0
09:35:41 Jul 01 2020,99,89,14,0
09:35:45 Jul 01 2020,99,89,70,0
09:35:49 Jul 01 2020,99,89,16,0
09:35:53 Jul 01 2020,99,87,2,0
09:35:57 Jul 01 2020,99,87,0,0
09:36:01 Jul 01 2020,99,87,0,0
09:36:05 Jul 01 2020,99,82,0,0
09:36:09 Jul 01 2020,99,80,0,0
09:36:13 Jul 01 2020,99,80,0,0
09:36:17 Jul 01 2020,99,80,5,0
09:36:21 Jul 01 2020,99,80,11,0
09:36:25 Jul 01 2020,99,80,6,0
09:36:29 Jul 01 2020,99,80,1,0
09:36:33 Jul 01 2020,99,79,0,0
09:36:37 Jul 01 2020,99,79,0,0
09:36:41 Jul 01 2020,99,70,1,0
09:36:45 Jul 01 2020,99,70,1,0
09:36:49 Jul 01 2020,99,70,6,0
09:36:53 Jul 01 2020,99,70,8,0
09:36:57 Jul 01 2020,99,70,22,0
09:37:01 Jul 01 2020,99,70,6,0
09:37:05 Jul 01 2020,99,70,11,0
09:37:09 Jul 01 2020,99,70,11,0
09:37:13 Jul 01 2020,99,70,9,0
09:37:17 Jul 01 2020,99,70,1,0
09:37:21 Jul 01 2020,99,70,1,0
09:37:25 Jul 01 2020,99,70,0,0
09:37:29 Jul 01 2020,99,75,14,0
09:37:33 Jul 01 2020,99,75,19,0
09:37:37 Jul 01 2020,99,77,4,0
09:37:41 Jul 01 2020,99,78,2,0
09:37:45 Jul 01 2020,99,78,20,0
09:37:49 Jul 01 2020,99,78,24,0
09:37:53 Jul 01 2020,99,78,17,0
09:37:57 Jul 01 2020,99,78,65,0
09:38:01 Jul 01 2020,99,76,26,0
09:38:05 Jul 01 2020,99,77,0,0
09:38:09 Jul 01 2020,98,78,1,0
09:38:13 Jul 01 2020,99,81,0,0
09:38:17 Jul 01 2020,98,78,0,0
09:38:21 Jul 01 2020,98,76,11,0
09:38:25 Jul 01 2020,98,76,6,0
09:38:29 Jul 01 2020,99,73,1,0
09:38:33 Jul 01 2020,99,68,1,0
09:38:37 Jul 01 2020,99,59,1,0
09:38:41 Jul 01 2020,99,59,2,0
09:38:45 Jul 01 2020,99,59,7,0
09:38:49 Jul 01 2020,99,59,3,0
09:38:53 Jul 01 2020,99,59,3,0
09:38:57 Jul 01 2020,99,60,0,0
09:39:01 Jul 01 2020,99,62,0,0
09:39:05 Jul 01 2020,98,64,0,0
09:39:09 Jul 01 2020,98,70,0,0
09:39:13 Jul 01 2020,98,77,0,0
09:39:17 Jul 01 2020,98,79,0,0
09:39:21 Jul 01 2020,98,79,1,0
09:39:25 Jul 01 2020,98,80,0,0
09:39:29 Jul 01 2020,98,79,0,0
09:39:33 Jul 01 2020,98,78,1,0
09:39:37 Jul 01 2020,98,78,1,0
09:39:41 Jul 01 2020,98,78,9,0
09:39:45 Jul 01 2020,98,78,2,0
09:39:49 Jul 01 2020,98,78,48,0
09:39:53 Jul 01 2020,98,78,0,0
09:39:57 Jul 01 2020,98,78,2,0
09:40:01 Jul 01 2020,98,78,2,0
09:40:05 Jul 01 2020,98,78,1,0
09:40:09 Jul 01 2020,98,78,148,0
09:40:13 Jul 01 2020,98,78,12,0
09:40:17 Jul 01 2020,98,75,1,0
09:40:21 Jul 01 2020,99,78,1,0
09:40:25 Jul 01 2020,99,78,1,0
09:40:29 Jul 01 2020,99,79,1,0
09:40:33 Jul 01 2020,99,84,6,0
09:40:37 Jul 01 2020,99,86,0,0
09:40:41 Jul 01 2020,99,86,0,0
09:40:45 Jul 01 2020,99,86,2,0
09:40:49 Jul 01 2020,99,86,3,0
09:40:53 Jul 01 2020,99,86,1,0
09:40:57 Jul 01 2020,99,88,0,0
09:41:01 Jul 01 2020,99,88,0,0
09:41:05 Jul 01 2020,99,79,2,0
09:41:09 Jul 01 2020,99,73,0,0
09:41:13 Jul 01 2020,99,73,5,0
09:41:17 Jul 01 2020,99,74,0,0
09:41:21 Jul 01 2020,99,75,2,0
09:41:25 Jul 01 2020,99,78,0,0
09:41:29 Jul 01 2020,99,80,0,0
09:41:33 Jul 01 2020,99,79,0,0
09:41:37 Jul 01 2020,99,79,4,0
09:41:41 Jul 01 2020,99,82,0,0
09:41:45 Jul 01 2020,99,83,1,0
09:41:49 Jul 01 2020,99,82,1,0
09:41:53 Jul 01 2020,99,83,28,0
09:41:57 Jul 01 2020,99,83,13,0
09:42:01 Jul 01 2020,99,84,6,0
09:42:05 Jul 01 2020,99,87,4,0
09:42:09 Jul 01 2020,99,86,7,0
09:42:13 Jul 01 2020,98,85,3,0
09:42:17 Jul 01 2020,98,85,3,0
09:42:21 Jul 01 2020,98,86,3,0
09:42:25 Jul 01 2020,99,86,2,0
09:42:29 Jul 01 2020,99,86,4,0
09:42:33 Jul 01 2020,99,86,5,0
09:42:37 Jul 01 2020,99,86,5,0
09:42:41 Jul 01 2020,99,85,4,0
09:42:45 Jul 01 2020,99,82,4,0
09:42:49 Jul 01 2020,99,81,106,0
09:42:53 Jul 01 2020,99,81,6,0
09:42:57 Jul 01 2020,99,81,4,0
09:43:01 Jul 01 2020,99,81,9,0
09:43:05 Jul 01 2020,99,81,4,0
09:43:09 Jul 01 2020,99,81,2,0
09:43:13 Jul 01 2020,99,81,2,0
09:43:17 Jul 01 2020,99,81,10,0
09:43:21 Jul 01 2020,99,83,6,0
09:43:25 Jul 01 2020,99,83,4,0
09:43:29 Jul 01 2020,99,83,4,0
09:43:33 Jul 01 2020,99,83,6,0
09:43:37 Jul 01 2020,99,83,3,0
09:43:41 Jul 01 2020,99,83,4,0
09:43:45 Jul 01 2020,99,83,3,0
09:43:49 Jul 01 2020,99,83,6,0
09:43:53 Jul 01 2020,99,83,7,0
09:43:57 Jul 01 2020,99,83,5,0
09:44:01 Jul 01 2020,99,83,3,0
09:44:05 Jul 01 2020,99,83,4,0
09:44:09 Jul 01 2020,99,83,11,0
09:44:13 Jul 01 2020,99,83,5,0
09:44:17 Jul 01 2020,98,84,9,0
09:44:21 Jul 01 2020,98,84,12,0
09:44:25 Jul 01 2020,98,84,5,0
09:44:29 Jul 01 2020,98,84,15,0
09:44:33 Jul 01 2020,98,84,4,0
09:44:37 Jul 01 2020,98,84,6,0
09:44:41 Jul 01 2020,98,84,4,0
09:44:45 Jul 01 2020,98,86,10,0
09:44:49 Jul 01 2020,98,86,6,0
09:44:53 Jul 01 2020,98,86,2,0
09:44:57 Jul 01 2020,98,86,2,0
09:45:01 Jul 01 2020,98,86,107,0
09:45:05 Jul 01 2020,98,86,14,0
09:45:09 Jul 01 2020,98,86,20,0
09:45:13 Jul 01 2020,98,86,18,0
09:45:17 Jul 01 2020,98,86,11,0
09:45:21 Jul 01 2020,98,86,53,0
09:45:25 Jul 01 2020,98,86,39,0
09:45:29 Jul 01 2020,98,86,101,0
09:45:33 Jul 01 2020,98,86,2,0
09:45:37 Jul 01 2020,99,87,4,0
09:45:41 Jul 01 2020,98,92,9,0
09:45:45 Jul 01 2020,98,92,44,0
09:45:49 Jul 01 2020,98,92,5,0
09:45:53 Jul 01 2020,98,92,1,0
09:45:57 Jul 01 2020,98,92,47,0
09:46:01 Jul 01 2020,98,92,7,0
09:46:05 Jul 01 2020,98,92,29,0
09:46:09 Jul 01 2020,98,92,30,0
09:46:13 Jul 01 2020,98,92,17,0
09:46:17 Jul 01 2020,98,92,23,0
09:46:21 Jul 01 2020,98,92,99,0
09:46:25 Jul 01 2020,98,92,16,0
09:46:29 Jul 01 2020,98,90,2,0
09:46:33 Jul 01 2020,98,89,0,0
09:46:37 Jul 01 2020,98,88,13,0
09:46:41 Jul 01 2020,99,89,0,0
09:46:45 Jul 01 2020,99,89,1,0
09:46:49 Jul 01 2020,99,80,0,0
09:46:53 Jul 01 2020,99,74,0,0
09:46:57 Jul 01 2020,99,71,1,0
09:47:01 Jul 01 2020,99,74,0,0
09:47:05 Jul 01 2020,99,74,0,0
09:47:09 Jul 01 2020,99,74,0,0
09:47:13 Jul 01 2020,99,73,1,0
09:47:17 Jul 01 2020,99,73,0,0
09:47:21 Jul 01 2020,99,73,2,0
09:47:25 Jul 01 2020,99,73,1,0
09:47:29 Jul 01 2020,99,72,13,0
09:47:33 Jul 01 2020,99,71,1,0
09:47:37 Jul 01 2020,99,71,9,0
09:47:41 Jul 01 2020,99,71,56,0
09:47:45 Jul 01 2020,99,69,11,0
09:47:49 Jul 01 2020,99,74,1,0
09:47:53 Jul 01 2020,99,77,3,0
09:47:57 Jul 01 2020,99,77,7,0
09:48:01 Jul 01 2020,99,77,0,0
09:48:05 Jul 01 2020,99,77,17,0
09:48:09 Jul 01 2020,255,65535,28,0
09:48:13 Jul 01 2020,255,65535,20,0
09:48:17 Jul 01 2020,255,65535,0,0
