Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
BioEng Lab,RUNNING,02-07-2020,13:37:39,00:05:27,,73,0.0,,00:00,,10,80,,,,,,,,,,170.0,70.0,198,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,75,0.0,00:00,,,,0.00,,,
,00:00:01,74,0.0,00:00,,,,0.00,,,
,00:00:02,74,0.0,00:00,,,,0.00,,,
,00:00:03,74,0.0,00:00,,,,0.00,,,
,00:00:04,74,0.0,00:00,,,,0.00,,,
,00:00:05,74,0.0,00:00,,,,0.00,,,
,00:00:06,74,0.0,00:00,,,,0.00,,,
,00:00:07,75,0.0,00:00,,,,0.00,,,
,00:00:08,75,0.0,00:00,,,,0.00,,,
,00:00:09,76,0.0,00:00,,,,0.00,,,
,00:00:10,77,0.0,00:00,,,,0.00,,,
,00:00:11,79,0.0,00:00,,,,0.00,,,
,00:00:12,79,0.0,00:00,,,,0.00,,,
,00:00:13,79,0.0,00:00,,,,0.00,,,
,00:00:14,79,0.0,00:00,,,,0.00,,,
,00:00:15,79,0.0,00:00,,,,0.00,,,
,00:00:16,79,0.0,00:00,,,,0.00,,,
,00:00:17,79,0.0,00:00,,,,0.00,,,
,00:00:18,79,0.0,00:00,,,,0.00,,,
,00:00:19,79,0.0,00:00,,,,0.00,,,
,00:00:20,79,0.0,00:00,,,,0.00,,,
,00:00:21,79,0.0,00:00,,,,0.00,,,
,00:00:22,78,0.0,00:00,,,,0.00,,,
,00:00:23,78,0.0,00:00,,,,0.00,,,
,00:00:24,78,0.0,00:00,,,,0.00,,,
,00:00:25,77,0.0,00:00,,,,0.00,,,
,00:00:26,77,0.0,00:00,,,,0.00,,,
,00:00:27,77,0.0,00:00,,,,0.00,,,
,00:00:28,77,0.0,00:00,,,,0.00,,,
,00:00:29,77,0.0,00:00,,,,0.00,,,
,00:00:30,77,0.0,00:00,,,,0.00,,,
,00:00:31,77,0.0,00:00,,,,0.00,,,
,00:00:32,75,0.0,00:00,,,,0.00,,,
,00:00:33,74,0.0,00:00,,,,0.00,,,
,00:00:34,73,0.0,00:00,,,,0.00,,,
,00:00:35,73,0.0,00:00,,,,0.00,,,
,00:00:36,72,0.0,00:00,,,,0.00,,,
,00:00:37,72,0.0,00:00,,,,0.00,,,
,00:00:38,72,0.0,00:00,,,,0.00,,,
,00:00:39,72,0.0,00:00,,,,0.00,,,
,00:00:40,71,0.0,00:00,,,,0.00,,,
,00:00:41,71,0.0,00:00,,,,0.00,,,
,00:00:42,71,0.0,00:00,,,,0.00,,,
,00:00:43,71,0.0,00:00,,,,0.00,,,
,00:00:44,70,0.0,00:00,,,,0.00,,,
,00:00:45,70,0.0,00:00,,,,0.00,,,
,00:00:46,70,0.0,00:00,,,,0.00,,,
,00:00:47,71,0.0,00:00,,,,0.00,,,
,00:00:48,70,0.0,00:00,,,,0.00,,,
,00:00:49,71,0.0,00:00,,,,0.00,,,
,00:00:50,72,0.0,00:00,,,,0.00,,,
,00:00:51,73,0.0,00:00,,,,0.00,,,
,00:00:52,74,0.0,00:00,,,,0.00,,,
,00:00:53,75,0.0,00:00,,,,0.00,,,
,00:00:54,75,0.0,00:00,,,,0.00,,,
,00:00:55,73,0.0,00:00,,,,0.00,,,
,00:00:56,72,0.0,00:00,,,,0.00,,,
,00:00:57,72,0.0,00:00,,,,0.00,,,
,00:00:58,72,0.0,00:00,,,,0.00,,,
,00:00:59,72,0.0,00:00,,,,0.00,,,
,00:01:00,72,0.0,00:00,,,,0.00,,,
,00:01:01,72,0.0,00:00,,,,0.00,,,
,00:01:02,72,0.0,00:00,,,,0.00,,,
,00:01:03,72,0.0,00:00,,,,0.00,,,
,00:01:04,71,0.0,00:00,,,,0.00,,,
,00:01:05,71,0.0,00:00,,,,0.00,,,
,00:01:06,71,0.0,00:00,,,,0.00,,,
,00:01:07,71,0.0,00:00,,,,0.00,,,
,00:01:08,70,0.0,00:00,,,,0.00,,,
,00:01:09,70,0.0,00:00,,,,0.00,,,
,00:01:10,69,0.0,00:00,,,,0.00,,,
,00:01:11,69,0.0,00:00,,,,0.00,,,
,00:01:12,69,0.0,00:00,,,,0.00,,,
,00:01:13,69,0.0,00:00,,,,0.00,,,
,00:01:14,69,0.0,00:00,,,,0.00,,,
,00:01:15,68,0.0,00:00,,,,0.00,,,
,00:01:16,68,0.0,00:00,,,,0.00,,,
,00:01:17,68,0.0,00:00,,,,0.00,,,
,00:01:18,68,0.0,00:00,,,,0.00,,,
,00:01:19,68,0.0,00:00,,,,0.00,,,
,00:01:20,68,0.0,00:00,,,,0.00,,,
,00:01:21,68,0.0,00:00,,,,0.00,,,
,00:01:22,68,0.0,00:00,,,,0.00,,,
,00:01:23,68,0.0,00:00,,,,0.00,,,
,00:01:24,68,0.0,00:00,,,,0.00,,,
,00:01:25,69,0.0,00:00,,,,0.00,,,
,00:01:26,69,0.0,00:00,,,,0.00,,,
,00:01:27,69,0.0,00:00,,,,0.00,,,
,00:01:28,69,0.0,00:00,,,,0.00,,,
,00:01:29,68,0.0,00:00,,,,0.00,,,
,00:01:30,68,0.0,00:00,,,,0.00,,,
,00:01:31,68,0.0,00:00,,,,0.00,,,
,00:01:32,68,0.0,00:00,,,,0.00,,,
,00:01:33,68,0.0,00:00,,,,0.00,,,
,00:01:34,68,0.0,00:00,,,,0.00,,,
,00:01:35,69,0.0,00:00,,,,0.00,,,
,00:01:36,70,0.0,00:00,,,,0.00,,,
,00:01:37,70,0.0,00:00,,,,0.00,,,
,00:01:38,70,0.0,00:00,,,,0.00,,,
,00:01:39,70,0.0,00:00,,,,0.00,,,
,00:01:40,70,0.0,00:00,,,,0.00,,,
,00:01:41,69,0.0,00:00,,,,0.00,,,
,00:01:42,69,0.0,00:00,,,,0.00,,,
,00:01:43,69,0.0,00:00,,,,0.00,,,
,00:01:44,69,0.0,00:00,,,,0.00,,,
,00:01:45,70,0.0,00:00,,,,0.00,,,
,00:01:46,69,0.0,00:00,,,,0.00,,,
,00:01:47,69,0.0,00:00,,,,0.00,,,
,00:01:48,70,0.0,00:00,,,,0.00,,,
,00:01:49,70,0.0,00:00,,,,0.00,,,
,00:01:50,70,0.0,00:00,,,,0.00,,,
,00:01:51,71,0.0,00:00,,,,0.00,,,
,00:01:52,71,0.0,00:00,,,,0.00,,,
,00:01:53,72,0.0,00:00,,,,0.00,,,
,00:01:54,74,0.0,00:00,,,,0.00,,,
,00:01:55,74,0.0,00:00,,,,0.00,,,
,00:01:56,74,0.0,00:00,,,,0.00,,,
,00:01:57,74,0.0,00:00,,,,0.00,,,
,00:01:58,74,0.0,00:00,,,,0.00,,,
,00:01:59,74,0.0,00:00,,,,0.00,,,
,00:02:00,75,0.0,00:00,,,,0.00,,,
,00:02:01,75,0.0,00:00,,,,0.00,,,
,00:02:02,75,0.0,00:00,,,,0.00,,,
,00:02:03,75,0.0,00:00,,,,0.00,,,
,00:02:04,75,0.0,00:00,,,,0.00,,,
,00:02:05,75,0.0,00:00,,,,0.00,,,
,00:02:06,75,0.0,00:00,,,,0.00,,,
,00:02:07,74,0.0,00:00,,,,0.00,,,
,00:02:08,74,0.0,00:00,,,,0.00,,,
,00:02:09,73,0.0,00:00,,,,0.00,,,
,00:02:10,72,0.0,00:00,,,,0.00,,,
,00:02:11,72,0.0,00:00,,,,0.00,,,
,00:02:12,72,0.0,00:00,,,,0.00,,,
,00:02:13,72,0.0,00:00,,,,0.00,,,
,00:02:14,72,0.0,00:00,,,,0.00,,,
,00:02:15,73,0.0,00:00,,,,0.00,,,
,00:02:16,73,0.0,00:00,,,,0.00,,,
,00:02:17,72,0.0,00:00,,,,0.00,,,
,00:02:18,72,0.0,00:00,,,,0.00,,,
,00:02:19,73,0.0,00:00,,,,0.00,,,
