Elapsed time; MotionVR pitch; MotionVR roll; MotionVR heave; StaticVR ML; StaticVR AP; Static ML raw; StaticVR AP raw
0.001;0;0;0;-0.04037619;-0.5270486;-0.0404945;-0.5354409
0.010;0;0;0;-0.04037428;-0.5278904;-0.0404945;-0.5354409
0.021;0;0;0;-0.04037881;-0.5287324;-0.04057544;-0.5363619
0.032;0;0;0;-0.04038668;-0.5295451;-0.04057544;-0.5363619
0.044;0;0;0;-0.04039615;-0.5303135;-0.04057544;-0.5363619
0.055;0;0;0;-0.04040909;-0.5310563;-0.04063642;-0.5369966
0.065;0;0;0;-0.04042405;-0.5317575;-0.04063642;-0.5369966
0.077;0;0;0;-0.0404228;-0.5324204;-0.04018605;-0.537297
0.088;0;0;0;-0.04041362;-0.5330364;-0.04018605;-0.537297
0.099;0;0;0;-0.04040062;-0.5336012;-0.04018605;-0.537297
0.110;0;0;0;-0.04038662;-0.5341153;-0.04018605;-0.537297
0.124;0;0;0;-0.04036856;-0.5345549;-0.04007077;-0.5366663
0.133;0;0;0;-0.04034877;-0.5349361;-0.04007077;-0.5366663
0.144;0;0;0;-0.04031813;-0.5351872;-0.03980207;-0.5345904
0.156;0;0;0;-0.04028279;-0.5353553;-0.03980207;-0.5345904
0.166;0;0;0;-0.04023278;-0.5354195;-0.03946126;-0.533438
0.177;0;0;0;-0.04017657;-0.5354211;-0.03946126;-0.533438
0.188;0;0;0;-0.04011875;-0.5353847;-0.03946126;-0.533438
0.199;0;0;0;-0.04006135;-0.5353227;-0.03979677;-0.5316853
0.211;0;0;0;-0.04001868;-0.5351743;-0.03979677;-0.5316853
0.222;0;0;0;-0.03998411;-0.5349786;-0.03979677;-0.5316853
0.233;0;0;0;-0.0399366;-0.5347216;-0.0393365;-0.5308021
0.244;0;0;0;-0.03988433;-0.5344345;-0.0393365;-0.5308021
0.256;0;0;0;-0.03984255;-0.5341164;-0.03962773;-0.5303753
0.267;0;0;0;-0.03980684;-0.5337889;-0.03962773;-0.5303753
0.278;0;0;0;-0.03977489;-0.5334624;-0.03962773;-0.5303753
0.289;0;0;0;-0.03976059;-0.5331756;-0.04000145;-0.5311894
0.301;0;0;0;-0.03974748;-0.5329605;-0.0397839;-0.5323725
0.311;0;0;0;-0.03973615;-0.5327876;-0.0397839;-0.5323725
0.323;0;0;0;-0.03972685;-0.5326419;-0.0397839;-0.5323725
0.334;0;0;0;-0.03971994;-0.5325159;-0.0397839;-0.5323725
0.345;0;0;0;-0.03971553;-0.5324069;-0.0397839;-0.5323725
0.357;0;0;0;-0.03972483;-0.5323392;-0.04007673;-0.5330396
0.367;0;0;0;-0.03974116;-0.5322986;-0.04007673;-0.5330396
0.378;0;0;0;-0.03976214;-0.5323212;-0.04009861;-0.534158
0.390;0;0;0;-0.0397855;-0.5323801;-0.04009861;-0.534158
0.400;0;0;0;-0.03980851;-0.5325242;-0.04005802;-0.5357732
0.411;0;0;0;-0.0398314;-0.5327123;-0.04005802;-0.5357732
0.423;0;0;0;-0.03984451;-0.5329974;-0.03980041;-0.5376894
0.434;0;0;0;-0.03985268;-0.5333263;-0.03980041;-0.5376894
0.445;0;0;0;-0.03985834;-0.5336723;-0.03980041;-0.5376894
0.456;0;0;0;-0.03986228;-0.5340203;-0.03980041;-0.5376894
0.467;0;0;0;-0.03988028;-0.53445;-0.04020506;-0.5399562
0.479;0;0;0;-0.03990424;-0.5349104;-0.04020506;-0.5399562
0.490;0;0;0;-0.03989983;-0.5354572;-0.03941888;-0.5420611
0.501;0;0;0;-0.03988183;-0.5360312;-0.03941888;-0.5420611
0.513;0;0;0;-0.03985751;-0.5366028;-0.03941888;-0.5420611
0.523;0;0;0;-0.03983665;-0.5371855;-0.03959161;-0.5428307
0.534;0;0;0;-0.03981698;-0.5377553;-0.03959161;-0.5428307
0.546;0;0;0;-0.03979814;-0.5382994;-0.03969026;-0.5424954
0.557;0;0;0;-0.0397768;-0.5387511;-0.03951377;-0.5412595
0.568;0;0;0;-0.03975415;-0.53914;-0.03951377;-0.5412595
0.579;0;0;0;-0.03973174;-0.5394818;-0.03951377;-0.5412595
