Elapsed time, MotionVR pitch, MotionVR roll, MotionVR heave, StaticVR ML, StaticVR AP, Static ML raw, StaticVR AP raw
0.001,0,0,0,-0.002212286,-0.6701584,-0.0037058,-0.6716642
0.008,0,0,0,-0.002361059,-0.6702977,-0.0037058,-0.6716642
0.018,0,0,0,-0.002505541,-0.6704313,-0.0037058,-0.6716642
0.029,0,0,0,-0.002643228,-0.6705593,-0.005221248,-0.672129
0.041,0,0,0,-0.002859652,-0.6707079,-0.005957663,-0.6723429
0.052,0,0,0,-0.003107309,-0.670863,-0.005957663,-0.6723429
0.063,0,0,0,-0.00336206,-0.6710186,-0.005957663,-0.6723429
0.075,0,0,0,-0.003611803,-0.6711713,-0.005957663,-0.6723429
0.086,0,0,0,-0.003853559,-0.6712254,-0.006038964,-0.6698923
0.097,0,0,0,-0.004083335,-0.671229,-0.006038964,-0.6698923
0.108,0,0,0,-0.004298747,-0.6712047,-0.006364763,-0.6681594
0.118,0,0,0,-0.004511058,-0.6710972,-0.006364763,-0.6681594
0.129,0,0,0,-0.004713178,-0.6709479,-0.006364763,-0.6681594
0.141,0,0,0,-0.00490129,-0.6707779,-0.006364763,-0.6681594
0.152,0,0,0,-0.005167842,-0.6704663,-0.008817077,-0.6647477
0.163,0,0,0,-0.005464673,-0.6700897,-0.008817077,-0.6647477
0.175,0,0,0,-0.005744576,-0.6696177,-0.008220434,-0.6629577
0.186,0,0,0,-0.00600791,-0.6691064,-0.008220434,-0.6629577
0.197,0,0,0,-0.006254911,-0.6685841,-0.008220434,-0.6629577
0.208,0,0,0,-0.006485343,-0.6680688,-0.008179247,-0.6610503
0.220,0,0,0,-0.006695271,-0.6674467,-0.008121669,-0.6597653
0.230,0,0,0,-0.006886601,-0.6667897,-0.008121669,-0.6597653
0.241,0,0,0,-0.00706017,-0.6661336,-0.008121669,-0.6597653
0.253,0,0,0,-0.00721705,-0.6654971,-0.008121669,-0.6597653
0.264,0,0,0,-0.007357776,-0.6648895,-0.008121669,-0.6597653
0.277,0,0,0,-0.007415175,-0.6642969,-0.006343424,-0.659304
0.287,0,0,0,-0.007394314,-0.663749,-0.005497456,-0.6597797
0.298,0,0,0,-0.00733161,-0.6632419,-0.005497456,-0.6597797
0.309,0,0,0,-0.007245183,-0.6627734,-0.005497456,-0.6597797
0.320,0,0,0,-0.007177293,-0.6624517,-0.006358504,-0.6626219
0.331,0,0,0,-0.007117987,-0.6622186,-0.006358504,-0.6626219
0.342,0,0,0,-0.007062614,-0.6620445,-0.005179048,-0.6649961
0.354,0,0,0,-0.006962895,-0.6620063,-0.005179048,-0.6649961
0.365,0,0,0,-0.006842494,-0.6620474,-0.00267458,-0.670228
0.376,0,0,0,-0.006616592,-0.6623368,-0.00267458,-0.670228
0.387,0,0,0,-0.006343067,-0.6627499,-0.00267458,-0.670228
0.398,0,0,0,-0.006128073,-0.6633214,-0.004679024,-0.6727515
0.410,0,0,0,-0.005944908,-0.663965,-0.004679024,-0.6727515
0.421,0,0,0,-0.00578022,-0.6646376,-0.004679024,-0.6727515
0.431,0,0,0,-0.005627453,-0.6653176,-0.004679024,-0.6727515
0.442,0,0,0,-0.005449057,-0.6660968,-0.003692687,-0.6755543
0.454,0,0,0,-0.005230546,-0.6670065,-0.002777517,-0.6780895
0.465,0,0,0,-0.005000234,-0.6679581,-0.002777517,-0.6780895
0.476,0,0,0,-0.004772425,-0.6689075,-0.002777517,-0.6780895
0.487,0,0,0,-0.004554331,-0.6698325,-0.002777517,-0.6780895
0.498,0,0,0,-0.0043872,-0.6707867,-0.003759563,-0.6797735
0.510,0,0,0,-0.004252255,-0.6717248,-0.003759563,-0.6797735
0.521,0,0,0,-0.004170418,-0.6726509,-0.00454551,-0.6804727
0.533,0,0,0,-0.004120469,-0.6735392,-0.00454551,-0.6804727
0.543,0,0,0,-0.004091978,-0.6743767,-0.00454551,-0.6804727
0.554,0,0,0,-0.004079819,-0.675157,-0.002773702,-0.6796806
0.565,0,0,0,-0.004010439,-0.6758456,-0.002773702,-0.6796806
0.577,0,0,0,-0.003916621,-0.6764577,-0.002565145,-0.6794521
0.588,0,0,0,-0.003806889,-0.6769922,-0.002565145,-0.6794521
0.599,0,0,0,-0.003693521,-0.6774576,-0.002565145,-0.6794521
0.610,0,0,0,-0.003584206,-0.6778626,-0.002565145,-0.6794521
0.622,0,0,0,-0.003459632,-0.6781845,-0.001961589,-0.678749
0.633,0,0,0,-0.003273606,-0.6784511,-0.000389874,-0.6790366
0.644,0,0,0,-0.003064334,-0.6786683,-0.000389874,-0.6790366
0.655,0,0,0,-0.002850771,-0.6788394,-0.000389874,-0.6790366
0.666,0,0,0,-0.002638519,-0.6789738,-0.000389874,-0.6790366
0.677,0,0,0,-0.002430558,-0.6790763,-0.000389874,-0.6790366
0.689,0,0,0,-0.002176046,-0.6793125,0.001045108,-0.6831812
0.700,0,0,0,-0.00190711,-0.6795996,0.001045108,-0.6831812
0.711,0,0,0,-0.001639724,-0.6798961,0.001045108,-0.6831812
0.723,0,0,0,-0.001381993,-0.6801813,0.001045108,-0.6831812
0.734,0,0,0,-0.00104928,-0.6805955,0.00331068,-0.6869892
0.744,0,0,0,-0.0006884336,-0.6810606,0.00331068,-0.6869892
