Elapsed time; MotionVR pitch; MotionVR roll; MotionVR heave; StaticVR ML; StaticVR AP; Static ML raw; StaticVR AP raw
0.001;0;0;0;NaN;NaN;0.02287269;0.04079998
0.011;0;0;0;NaN;NaN;0.02287269;0.04079998
0.023;0;0;0;NaN;NaN;0.0234257;0.04086757
0.034;0;0;0;NaN;NaN;0.0234257;0.04086757
0.044;0;0;0;NaN;NaN;0.02340746;0.04102218
0.056;0;0;0;NaN;NaN;0.02340746;0.04102218
0.067;0;0;0;NaN;NaN;0.02400208;0.04105675
0.078;0;0;0;NaN;NaN;0.02400208;0.04105675
0.089;0;0;0;NaN;NaN;0.02299511;0.04182518
0.100;0;0;0;NaN;NaN;0.02299511;0.04182518
0.111;0;0;0;NaN;NaN;0.02299511;0.04182518
0.123;0;0;0;NaN;NaN;0.02299511;0.04182518
0.134;0;0;0;NaN;NaN;0.02266228;0.04217255
0.146;0;0;0;NaN;NaN;0.02266228;0.04217255
0.157;0;0;0;NaN;NaN;0.023628;0.04292476
0.167;0;0;0;NaN;NaN;0.023628;0.04292476
0.178;0;0;0;NaN;NaN;0.023628;0.04292476
0.192;0;0;0;NaN;NaN;0.02341187;0.04444921
0.201;0;0;0;NaN;NaN;0.02363849;0.04577279
0.212;0;0;0;NaN;NaN;0.02363849;0.04577279
0.223;0;0;0;NaN;NaN;0.02363849;0.04577279
0.234;0;0;0;NaN;NaN;0.0240258;0.04767942
0.246;0;0;0;NaN;NaN;0.0240258;0.04767942
0.257;0;0;0;NaN;NaN;0.0240258;0.04767942
0.268;0;0;0;NaN;NaN;0.0240258;0.04767942
0.279;0;0;0;NaN;NaN;0.02394485;0.04907811
0.291;0;0;0;NaN;NaN;0.02394485;0.04907811
0.301;0;0;0;NaN;NaN;0.02394485;0.04907811
0.313;0;0;0;NaN;NaN;0.02407432;0.05071557
0.324;0;0;0;NaN;NaN;0.02399719;0.05457032
0.335;0;0;0;NaN;NaN;0.02399719;0.05457032
0.347;0;0;0;NaN;NaN;0.02399719;0.05457032
0.357;0;0;0;NaN;NaN;0.02399719;0.05457032
0.369;0;0;0;NaN;NaN;0.02353036;0.05632651
0.380;0;0;0;NaN;NaN;0.02353036;0.05632651
0.391;0;0;0;NaN;NaN;0.0234108;0.05961359
0.402;0;0;0;NaN;NaN;0.0234108;0.05961359
0.413;0;0;0;NaN;NaN;0.0234108;0.05961359
0.424;0;0;0;NaN;NaN;0.0232507;0.0608958
0.435;0;0;0;NaN;NaN;0.0232507;0.0608958
0.446;0;0;0;NaN;NaN;0.02302277;0.0626657
0.458;0;0;0;NaN;NaN;0.02302277;0.0626657
0.468;0;0;0;NaN;NaN;0.02302277;0.0626657
0.480;0;0;0;NaN;NaN;0.02302277;0.0626657
0.491;0;0;0;NaN;NaN;0.02268863;0.06312191
0.502;0;0;0;NaN;NaN;0.02251577;0.06423354
0.513;0;0;0;NaN;NaN;0.02251577;0.06423354
0.524;0;0;0;NaN;NaN;0.02251577;0.06423354
0.536;0;0;0;NaN;NaN;0.02230728;0.06578171
0.548;0;0;0;NaN;NaN;0.02230728;0.06578171
0.558;0;0;0;NaN;NaN;0.02250457;0.0682193
0.569;0;0;0;NaN;NaN;0.02250457;0.0682193
0.580;0;0;0;NaN;NaN;0.02250457;0.0682193
0.592;0;0;0;NaN;NaN;0.02250457;0.0682193
0.603;0;0;0;NaN;NaN;0.02117968;0.06851029
0.615;0;0;0;NaN;NaN;0.02117968;0.06851029
0.625;0;0;0;NaN;NaN;0.02117968;0.06851029
0.636;0;0;0;NaN;NaN;0.02117968;0.06851029
0.648;0;0;0;NaN;NaN;0.02173269;0.0680033
0.659;0;0;0;NaN;NaN;0.02173269;0.0680033
0.670;0;0;0;NaN;NaN;0.02173269;0.0680033
0.681;0;0;0;NaN;NaN;0.0209682;0.06701267
0.693;0;0;0;NaN;NaN;0.0209682;0.06701267
0.704;0;0;0;NaN;NaN;0.0209682;0.06701267
0.715;0;0;0;NaN;NaN;0.02070224;0.0664047
0.727;0;0;0;NaN;NaN;0.02070224;0.0664047
0.737;0;0;0;NaN;NaN;0.02034688;0.0651778
0.749;0;0;0;NaN;NaN;0.02034688;0.0651778
0.760;0;0;0;NaN;NaN;0.02034688;0.0651778
0.771;0;0;0;NaN;NaN;0.02000833;0.06508601
0.782;0;0;0;NaN;NaN;0.02000833;0.06508601
0.792;0;0;0;NaN;NaN;0.01996422;0.06624901
0.805;0;0;0;NaN;NaN;0.01996422;0.06624901
0.815;0;0;0;NaN;NaN;0.01996422;0.06624901
0.826;0;0;0;NaN;NaN;0.01996422;0.06624901
0.837;0;0;0;NaN;NaN;0.01997542;0.0684191
0.848;0;0;0;NaN;NaN;0.01997542;0.0684191
0.860;0;0;0;NaN;NaN;0.01941168;0.07137036
0.871;0;0;0;NaN;NaN;0.01941168;0.07137036
0.882;0;0;0;NaN;NaN;0.01941168;0.07137036
0.893;0;0;0;NaN;NaN;0.01938331;0.07409286
0.908;0;0;0;NaN;NaN;0.02042246;0.0842005
0.914;0;0;0;NaN;NaN;0.02042246;0.0842005
0.926;0;0;0;NaN;NaN;0.02042246;0.0842005
0.938;0;0;0;NaN;NaN;0.02042246;0.0842005
0.948;0;0;0;NaN;NaN;0.02032435;0.08811665
0.960;0;0;0;NaN;NaN;0.02032435;0.08811665
0.971;0;0;0;NaN;NaN;0.02139735;0.09405291
0.982;0;0;0;NaN;NaN;0.02139735;0.09405291
